Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
121,1,7/3/2020,2020,7,3,West Coast Shit (feat. Tyga & Quavo),5931242,Pop Smoke,6852509,1JDhNQ0oOT7XpclZn3aQ8F,7/3/2020,2020,7,3,7/3/2020,2020,7,3,61,0.831,0.762,-5.656,0.207,0.089,0.107,99.999,192000,0.495,B,brooklyn drill,,,,,,,,,,
70,1,5/1/2020,2020,5,1,Deep Pockets,8285754,Drake,56327031,3IvMYBE7A3c7to1aEcfFJk,5/1/2020,2020,5,1,5/1/2020,2020,5,1,58,0.473,0.824,-3.68,0.163,0.482,0.605,77.888,222929,0.374,G,canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap,,,,,
97,1,12/11/2020,2020,12,11,Another Day,8901697,Kid Cudi,5002317,6myUpr3GDR80Dg3zqNTmmG,12/11/2020,2020,12,11,12/11/2020,2020,12,11,63,0.646,0.758,-7.75,0.071,0.556,0.335,172.995,199787,0.064,E,hip hop, ohio hip hop, pop rap, rap,,,,,,,
56,3,5/8/2020,2020,5,8,MÁS DE UNA CITA,4987116,"Bad Bunny, Zion & Lennox",36177712,4EJHKSnHENfjOxXWryyNtL,5/10/2020,2020,5,10,5/22/2020,2020,5,22,67,0.865,0.5,-10.805,0.086,0.012,0.098,92.976,183520,0.317,F,latin, reggaeton, trap latino,,,,,,,,
33,5,4/2/2021,2021,4,2,Met Him Last Night (feat. Ariana Grande),5200695,Demi Lovato,20331923,0BI0hfbmqybnd3TezrDME3,4/2/2021,2021,4,2,4/30/2021,2021,4,30,72,0.538,0.512,-4.548,0.026,0.22,0.101,144.978,204632,0.12,E,dance pop, pop, post-teen pop,,,,,,,,
172,1,11/27/2020,2020,11,27,Plastic Hearts,5816739,Miley Cyrus,15778531,6qCsKKS7Ol63SJW3LOIX5R,11/27/2020,2020,11,27,11/27/2020,2020,11,27,74,0.551,0.756,-4.948,0.065,0.051,0.077,175.984,205733,0.618,D,dance pop, pop, post-teen pop,,,,,,,,
52,2,1/17/2020,2020,1,17,In Too Deep,4824037,Eminem,46814751,7Dj2wqPYXfSRFwa6qyOztr,1/17/2020,2020,1,17,1/24/2020,2020,1,24,62,0.72,0.767,-5.839,0.214,0.039,0.202,88.966,194707,0.595,A#/Bb,detroit hip hop, hip hop, rap,,,,,,,,
158,1,7/3/2020,2020,7,3,Tunnel Vision (Outro),4907751,Pop Smoke,6852509,2SxR5RitJdsG6wINvJLBSD,7/3/2020,2020,7,3,7/3/2020,2020,7,3,60,0.718,0.66,-7.39,0.325,0.363,0.159,142.879,132587,0.659,D,brooklyn drill,,,,,,,,,,
111,1,1/10/2020,2020,1,10,Crowded Room (feat. 6LACK),6483001,Selena Gomez,28931149,2C0hTkdEoikhKzDCJl32QZ,1/10/2020,2020,1,10,1/10/2020,2020,1,10,55,0.724,0.415,-8.408,0.052,0.764,0.103,89.999,186459,0.328,G,dance pop, pop, post-teen pop,,,,,,,,
167,1,12/18/2020,2020,12,18,Hallelujah,6985392,Pentatonix,3083825,0HZk0QsXPhMNAWNDR3rYE8,12/6/2017,2017,12,6,12/18/2020,2020,12,18,60,0.364,0.378,-7.381,0.033,0.47,0.339,89.918,268960,0.366,G,a cappella,,,,,,,,,,
90,1,1/17/2020,2020,1,17,Never Love Again,8335790,Eminem,46814751,40YbWniIEmqy6s58fYXLUh,1/17/2020,2020,1,17,1/17/2020,2020,1,17,62,0.747,0.899,-5.125,0.246,0.1,0.486,92.029,177547,0.581,F,detroit hip hop, hip hop, rap,,,,,,,,
106,5,9/4/2020,2020,9,4,Lets Link,5109038,WhoHeem,25417,6fMzgFFGzWCwiHMzDzNpp5,8/20/2020,2020,8,20,10/2/2020,2020,10,2,61,0.839,0.683,-9.232,0.165,0.007,0.241,120.003,159955,0.522,A#/Bb,viral rap,,,,,,,,,,
47,5,12/18/2020,2020,12,18,Fairytale of New York (feat. Kirsty MacColl),6404964,The Pogues,382997,3VTNVsTTu05dmTsVFrmGpK,9/5/1988,1988,9,5,12/25/2020,2020,12,25,55,0.271,0.551,-7.48,0.046,0.582,0.256,78.111,272467,0.428,D,celtic, celtic punk, celtic rock, folk punk, irish folk, punk,,,,,
117,1,7/3/2020,2020,7,3,Snitching (feat. Quavo & Future),6102253,Pop Smoke,6852509,2FhEj9lvEIaJihjFprRrGt,7/3/2020,2020,7,3,7/3/2020,2020,7,3,59,0.944,0.579,-4.961,0.191,0.038,0.253,135.033,259346,0.769,G#/Ab,brooklyn drill,,,,,,,,,,
12,21,10/2/2020,2020,10,2,Wonder,5535339,Shawn Mendes,1251372,7jjS2fSD9zuzbEHeVEFJ2w,8/13/2021,2021,8,13,2/19/2021,2021,2,19,0,0.333,0.637,-4.904,0.058,0.131,0.149,139.898,172693,0.132,C#/Db,,,,,,,,,,,
140,3,12/27/2019,2019,12,27,Don't Call Me Up,4931458,Mabel,1374784,5WHTFyqSii0lmT9R21abT8,1/18/2019,2019,1,18,1/10/2020,2020,1,10,79,0.674,0.881,-2.853,0.147,0.296,0.079,98.994,178480,0.234,A,dance pop, edm, pop, pop dance, post-teen pop, tropical house, uk pop,,,,
131,6,12/27/2019,2019,12,27,Turn Me On (feat. Vula),4925843,"Riton, Oliver Heldens",83743,0qaWEvPkts34WF68r8Dzx9,9/13/2019,2019,9,13,1/31/2020,2020,1,31,76,0.737,0.828,-4.711,0.04,0.015,0.086,124.051,208474,0.517,B,dance pop, house, pop dance, tropical house, uk dance,,,,,,
42,2,10/30/2020,2020,10,30,nasty,5249342,Ariana Grande,67208170,0sci7ppTZFm4mjcH3nu8yO,10/30/2020,2020,10,30,11/6/2020,2020,11,6,69,0.772,0.506,-6.558,0.139,0.081,0.182,127.894,200733,0.456,F#/Gb,dance pop, pop, post-teen pop,,,,,,,,
5,21,3/6/2020,2020,3,6,La Difícil,4727554,Bad Bunny,36177712,6NfrH0ANGmgBXyxgV2PeXt,2/29/2020,2020,2,29,7/17/2020,2020,7,17,78,0.685,0.848,-4.561,0.086,0.086,0.078,179.87,163084,0.761,G#/Ab,latin, reggaeton, trap latino,,,,,,,,
7,19,3/6/2020,2020,3,6,Si Veo a Tu Mamá,4638728,Bad Bunny,36177712,41wtwzCZkXwpnakmwJ239F,2/29/2020,2020,2,29,7/3/2020,2020,7,3,80,0.9,0.603,-5.313,0.065,0.402,0.134,129.928,170972,0.824,D,latin, reggaeton, trap latino,,,,,,,,
30,9,2/14/2020,2020,2,14,To Die For,4527835,Sam Smith,17097317,2ZTYlnhhV1UAReg7wIGolx,2/14/2020,2020,2,14,4/10/2020,2020,4,10,70,0.483,0.361,-7.889,0.074,0.832,0.098,171.649,193795,0.307,C,dance pop, pop, post-teen pop, uk pop,,,,,,,
83,1,5/22/2020,2020,5,22,COOLER THAN A BITCH (feat. Roddy Ricch),6642144,Gunna,3337982,5LHHKZOwV8XW4LJP2C64mw,5/22/2020,2020,5,22,5/22/2020,2020,5,22,67,0.837,0.586,-8.521,0.081,0.281,0.134,117.066,197000,0.618,B,atl hip hop, hip hop, melodic rap, rap, trap,,,,,,
69,2,3/27/2020,2020,3,27,Pretty Please,4305034,Dua Lipa,27167675,6DXZiYUbrYgrVIhfX3U9Z2,3/27/2020,2020,3,27,4/3/2020,2020,4,3,67,0.906,0.474,-6.124,0.194,0.031,0.286,106.976,194607,0.656,C#/Db,dance pop, pop, uk pop,,,,,,,,
143,1,6/12/2020,2020,6,12,Emotions 2.0,5113459,"Ufo361, CÉLINE",1700759,3yZCjDTxzZxx1kll1sRjGc,6/12/2020,2020,6,12,6/12/2020,2020,6,12,65,0.788,0.491,-9.884,0.109,0.386,0.107,98.543,146028,0.271,G#/Ab,german cloud rap, german hip hop,,,,,,,,,
193,1,1/31/2020,2020,1,31,ME! (feat. Brendon Urie of Panic! At The Disco),4884909,Taylor Swift,42227614,2Rk4JlNc2TPmZe2af99d45,8/23/2019,2019,8,23,1/31/2020,2020,1,31,77,0.61,0.83,-4.105,0.057,0.033,0.118,182.162,193000,0.728,C,pop, post-teen pop,,,,,,,,,
157,1,2/5/2021,2021,2,5,Can't Feel My Face,5479407,The Weeknd,35340069,22VdIZQfgXJea34mQxlt81,8/28/2015,2015,8,28,2/5/2021,2021,2,5,80,0.705,0.769,-5.526,0.043,0.113,0.105,107.949,213520,0.583,A,canadian contemporary r&b, canadian pop, pop,,,,,,,,
24,3,3/20/2020,2020,3,20,Hardest To Love,4553544,The Weeknd,35340069,6kWxIqQDsKFYCJGbU4AjCX,3/20/2020,2020,3,20,4/3/2020,2020,4,3,67,0.467,0.608,-7.847,0.071,0.091,0.125,80.957,211400,0.108,A#/Bb,canadian contemporary r&b, canadian pop, pop,,,,,,,,
